Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
1918-05-02 00:00:00,,De Havilland DH.4,United States Signal Corps - USSC,AS-32084,Takeoff (climb),Test,No,Airport (less than 10 km from airport),Dayton - Dayton,,,,Dayton-McCook Field Ohio,United States of America,North America,2,2,0,0,0,2,"The single engine airplane departed Dayton-McCook Field for a local test flight. Shortly after takeoff, the aircraft stalled and crashed, killing both occupants. Crew: Maj Oscar Brindley, Lt Col Henry Damm.",Technical failure
1918-06-08 00:00:00,,Handley Page V/1500,Handley Page Aircraft Company Ltd,E4104,Takeoff (climb),Test,Yes,Airport (less than 10 km from airport),Cricklewood - Cricklewood,,1918,,Cricklewood London Metropolis,United Kingdom,Europe,6,5,0,0,0,5,"Assembled at Cricklewood Airfield in May 1918, the aircraft departed Cricklewood for its 13th test flight, carrying six crew members. Shortly after takeoff, while climbing to a height of about 700-800 feet, all four engines stopped. The pilot elected to return for an emergency landing when the aircraft stalled and crashed in a field located in front of 21 Garrick Avenue in Golders Green, bursting into flames. Colonel Ogilvie, who was seating in the tail gunner position at the back of the plane, survived, while all five other occupants were killed. Crew: Cpt Vernon Earl George Busby, pilot, † Mr. Bertram G. Cooper, † Mr. R. P. Cooper, † Mr. W. H. Hathaway, † Mr. J. W. Windebank, † Colonel Ogilvie.",Technical failure
1918-06-11 00:00:00,,Avro 504,Royal Air Force - RAF,A8544,Flight,Training,Yes,"Plain, Valley",Abukir - Abukir,,,,Abukir (Abū Qīr) Alexandria,Egypt,Africa,2,1,0,0,0,1,"The single engine aircraft was completing a local training flight when it stalled and crashed near Abukir. A crew member was killed and the second was injured. Crew: 2nd Lt G. E. Satterthwaite, † 2nd Lt J. Acheson.",Unknown
1918-06-19 00:00:00,,De Havilland DH.4,United States Signal Corps - USSC,AS-32098,Flight,Military,No,Airport (less than 10 km from airport),Wright Patterson AFB-Wright Patterson AFB,,,,Wright-Patterson AFB (Dayton) Ohio,United States of America,North America,1,1,0,0,0,1,"Lt. Frank Stuart Patterson, son and nephew of the co-founders of National Cash Register, is killed in the crash of his DH.4M, AS-32098, at Wilbur Wright Field during a flight test of a new mechanism for synchronizing machine gun and propeller, when a tie rod breaks during a dive from 15,000 feet (4,600 m), causing the wings to separate from the aircraft. Wishing to recognize the contributions of the Patterson family (owners of NCR) the area of Wright Field east of Huffman Dam (including Wilbur Wright Field, Fairfield Air Depot, and the Huffman Prairie) is renamed Patterson Field on 6 July 1931, in honor of Lt. Patterson.",Technical failure
1918-06-24 00:00:00,,Breguet 14,French Air Force - Armée de l'Air,AS-4130,Landing (descent or approach),Military,Yes,,,,,,France All France,France,Europe,,0,,0,0,0,The aircraft crashed iupon landing somewhere in France. Pilot Charles C. Bassett survived.,Unknown
1918-07-14 00:00:00,,Fairey III,Marine Aeroplane Depot,N2851,Landing (descent or approach),Delivery,No,Airport (less than 10 km from airport),Isle of Grain - Usworth - Glasgow,,,,Usworth AFB (RAF Hylton) Tyne and Wear,United Kingdom,Europe,1,1,0,0,0,1,"The pilot departed Isle of Grain on a delivery flight to Glasgow-Renfrew Airport. On approach to RAF Usworth (RAF Hylton), he elected to make a go-around when the aircraft lost height and crashed. The aircraft was destroyed and the pilot, Captain Arthur Leslie Simms, was killed.",Unknown
1918-07-18 00:00:00,,De Havilland DH.6,Royal Air Force - RAF,B3087,Flight,Training,No,Airport (less than 10 km from airport),Seaton Carew - Seaton Carew,,,,Seaton Carew AFB Durham,United Kingdom,Europe,2,2,0,0,0,2,"The crew was completing a local training flight at RAF Seaton Carew when the aircraft entered a spin and crashed in a field, bursting into flames. Both occupants were killed. Crew: Cpt Charles David Danby, pilot, 1st Class E. A. Bannister, mechanic.",Unknown
1918-08-19 00:00:00,15H 15M 0S,Handley Page H.P.12,Royal Air Force - RAF,D4593,Flight,Test,No,"Plain, Valley",Castle Bromwich - Castle Bromwich,,,,Maxstoke Warwickshire,United Kingdom,Europe,2,2,5,5,0,7,"The aircraft departed Castle Bromwich for a test flight, carrying five engineers and two crew members. En route, the twin engine aircraft suffered technical problems with a wing, lost height and crashed in a field located in Maxstoke. The aircraft was destroyed and all seven occupants were killed. Crew: Lt Robert Edward Macbeth, Lt Frederick James Bravery, 1st Air Mechanic James Benjamn May, 2nd Air Mechanic Albert J. Winrow, 2nd Air Mechanic H. Simmonds, 3rd Air Mechanic Charles William Offord, 3rd George Greenland.",Technical failure
1918-08-23 00:00:00,,Tellier T.3,Portuguese Air Force - Aeronáutica Militar,5,Flight,Survey / Patrol / Reconnaissance,No,"Lake, Sea, Ocean, River",,,,,Cascais Estremadura - Lisbon District,Portugal,Europe,2,2,0,0,0,2,"The seaplane crashed in unknown circumstances in the sea off Cascais, killing both crew members.",Unknown
1918-08-26 00:00:00,,Blackburn R.T.1 Kangaroo,Royal Air Force - RAF,B9976,Landing (descent or approach),Military,Yes,Airport (less than 10 km from airport),Seaton Carew AFB - Seaton Carew AFB,B9976,1918,,Seaton Carew AFB Durham,United Kingdom,Europe,2,0,0,0,0,0,"On final approach in bad visibility, aircraft was too low. It struck the ground short of runway and crashed. Both occupants were injured. Crew was performing a training flight on behalf of the 246th Squadron.",Unknown
1918-09-13 00:00:00,12H 0M 0S,De Havilland DH.9,Royal Air Force - RAF,D1745,Flight,Military,Yes,"Plain, Valley",,,,,United Kingdom All United Kingdom,United Kingdom,Europe,1,0,,0,0,0,"The pilot tried to return to his base but due to low visibility by night, he lost his orientation. He elected to make an emergency landing in an open field but the aircraft hit a tree and crashed. The pilot was injured.",Weather
1918-10-06 00:00:00,,Avro 504,Royal Air Force - RAF,B927,Takeoff (climb),Training,Yes,Airport (less than 10 km from airport),Castle Bromwich - Castle Bromwich,,,,Castle Bromwich West Midlands,United Kingdom,Europe,1,0,0,0,0,0,"The pilot, sole on board, was completing a local training flight at Castle Bromwich Arport. While taking off, the engine failed, causing the aircraft to stall and crash. The pilot 2nd Lt Ormand Hilton Curry was slightly injured and the aircraft was destroyed.",Technical failure
1918-10-27 00:00:00,,De Havilland DH.4,Royal Air Force - RAF,F2633,Flight,Military,No,"Lake, Sea, Ocean, River",,,,,Saint-Vaast-la-Hougue Manche,France,Europe,2,2,0,0,0,2,"The airplane crashed in unknown circumstances in the sea off Saint-Vaast-la-Hougue, killing both crew members. Crew: 2Lt A. H. Aitken, 2Lt D. U. Thomas.",Unknown
1918-11-09 00:00:00,,De Havilland DH.4,United States Signal Corps - USSC,AS-23130,,Military,,Airport (less than 10 km from airport),,,,,Langley AFB (Hampton) Virginia,United States of America,North America,,0,,0,0,0,The aircraft crashed in unknown circumstances.,Unknown
1918-11-12 00:00:00,12H 0M 0S,De Havilland DH.4,United States Signal Corps - USSC,,,Military,,,,,,,Detroit Michigan,United States of America,North America,,0,,0,0,0,,Unknown
1918-11-12 00:00:00,,De Havilland DH.4,United States Signal Corps - USSC,SC-39168,Flight,Training,Yes,Airport (less than 10 km from airport),,,,,Everman-Barron Field Texas,United States of America,North America,2,1,0,0,0,1,"The crew was completing a training mission. At an altitude of about 4,000 feet, the aircraft entered a spin and crashed in an open field near Everman-Barron Field Airport. A crew was killed and the second occupants was injured. The aircraft was destroyed.",Unknown
1918-11-14 00:00:00,,Avro 504,Royal Air Force - RAF,D9327,Flight,Training,Yes,Airport (less than 10 km from airport),Old Sarum - Old Sarum,,,,Old Sarum Wiltshire,United Kingdom,Europe,2,1,0,0,0,1,The single engine aircraft crashed near Old Sarum Airfield. The Captain C. E. Abell was killed while the flight Cadet G. C. Oliver was seriously injured.,Unknown
1918-11-14 00:00:00,,De Havilland DH.4,U.S. Air Mail Service,6,Flight,Postal (mail),,"Plain, Valley",,,,,College Park Maryland,United States of America,North America,0,0,0,0,0,0,Crashed following an engine failure. Pilot fate unknown.,Technical failure
1918-11-20 00:00:00,12H 0M 0S,De Havilland DH.4,United States Signal Corps - USSC,AS-39406,,Military,,"Plain, Valley",,,,,New Jersey New Jersey,United States of America,North America,,0,,0,0,0,The accident occurred in unknown circumstances.,Unknown
1918-12-02 00:00:00,12H 0M 0S,De Havilland DH.4,United States Signal Corps - USSC,AS-22846,,Military,,Airport (less than 10 km from airport),,,,,Wright-Patterson AFB (Dayton) Ohio,United States of America,North America,0,0,0,0,0,0,The accident occurred in unknown circumstances.,Unknown
1918-12-08 00:00:00,12H 0M 0S,De Havilland DH.4,United States Signal Corps - USSC,,,Military,,"Plain, Valley",,,,,Brookeville Maryland,United States of America,North America,,0,,0,0,0,,Technical failure
1918-12-16 00:00:00,,De Havilland DH.4,U.S. Air Mail Service,97,Takeoff (climb),Postal (mail),No,Airport (less than 10 km from airport),,,,,Elizabeth New Jersey,United States of America,North America,1,1,0,0,0,1,"The pilot Carl B. Smith was performing a mail flight. He was killed after the airplane stalled, entered a spin and crashed after takeoff from Elizabeth Airfield.",Human factor
1918-12-21 00:00:00,,Avro 504,Royal Air Force - RAF,E9362,Flight,Training,Yes,Airport (less than 10 km from airport),Bicester - Bicester,,,,Bicester AFB Oxfordshire,United Kingdom,Europe,2,0,0,0,0,0,"The crew was performing a local training flight at RAF Bicester. While completing a turn, the crew lost control of the airplane that stalled and crashed. Both pilots were injured and the airplane was damaged beyond repair. Crew: Lt L. J. Mooney, Flt Cadet B. B. Abrahams.",Unknown
1918-12-22 00:00:00,,Breguet 14,French Air Force - Armée de l'Air,,Flight,Military,No,Mountains,Thessaloniki - Athens,,,,Mt Olympus Thessaly / Θεσσαλία,Greece,Europe,1,1,0,0,0,1,"The pilot, sole on board, departed Thessaloniki on a flight to Athens (Faliron). En route, weather conditions deteriorated and the aircraft crashed on the slope of Mt Olympus. The wreckage was found several days later. Owned by Cdr Denain from the French Armée de l'Air, the aircraft was lend to Cpt Aristidis Moraitinis of the Greek Marine who was killed in the accident.",Weather
1918-12-31 00:00:00,,Blackburn R.T.1 Kangaroo,Royal Air Force - RAF,B9983,Landing (descent or approach),Military,No,Airport (less than 10 km from airport),Seaton Carew AFB - Seaton Carew AFB,B9983,1918,,Seaton Carew AFB Durham,United Kingdom,Europe,2,2,0,0,0,2,"While landing, aircraft bounced and crashed into flames. Both occupants were killed. Exact date of crash unknown. Plane crashed some date in 1918.",Unknown
1919-01-16 00:00:00,,Handley Page V/1500,Handley Page Aircraft Company Ltd,F7136,Takeoff (climb),Ferry,Yes,"Plain, Valley",,,,,Sewardstone Essex,United Kingdom,Europe,2,0,3,0,0,0,"On January 10, en route to Cricklewood in foggy conditions, the crew encountered engine problems due to air in the fuel line and attempted an emergency landing. The aircraft landed in an open field located in Thompson's Wood near Sewardstone, Essex. All five occupants were uninjured and the aircraft suffered minor damages. Nevertheless, it was repaired on site and it was decided to take off six days later to continue to Cricklewood. Upon takeoff from a soft ground, the twin engine bomber failed to get airborne and crashed into the hedge lining the field. All five occupants were injured and the aircraft was destroyed.",Unknown
1919-02-20 00:00:00,,De Havilland DH.4,French Air Force - Armée de l'Air,A-31615,Flight,Military,No,"Plain, Valley",,,,,Latrecey-Ormoy-sur-Aube Haute-Marne,France,Europe,1,1,0,0,0,1,"The DH.4 collided with a Salmson aircraft over Latrecey-Ormoy-sur-Aube and crashed, killing the pilot Raymond B. Messer.",Unknown
1919-02-23 00:00:00,,De Havilland DH.4,United States Army Air Service - USAAS,AS-29071,Flight,Military,,Airport (less than 10 km from airport),,,,,Ellington AFB (Houston) Texas,United States of America,North America,0,0,0,0,0,0,"Suffered an engine failure, entered a dive and crashed at Ellington Field.",Technical failure
1919-03-10 00:00:00,,Handley Page H.P.12,United States Army Air Service - USAAS,AS-62447,Flight,Military,,"Plain, Valley",,,,,Elizabeth New Jersey,United States of America,North America,0,0,0,0,0,0,"Crashed on a river bank near Elizabeth, NJ, following an engine failure.",Technical failure
1919-03-18 00:00:00,,Handley Page H.P.12,Royal Air Force - RAF,D8340,Landing (descent or approach),Aerial photography,Yes,Airport (less than 10 km from airport),Castle Bromwich - Castle Bromwich,,,,Castle Bromwich West Midlands,United Kingdom,Europe,1,0,4,0,0,0,"The twin engine airplane was returning to Castle Bromwich following an aerial photography mission. Upon landing, the pilot encountered strong crosswinds when the aircraft slipped into the ground, crashed and came to rest with its nose stuck in the ground. All five occupants evacuated safely while the aircraft was damaged beyond repair.",Weather
1919-03-19 00:00:00,,De Havilland DH.4,U.S. Air Mail Service,8,Flight,Postal (mail),,"Plain, Valley",,,,,Totenville New York,United States of America,North America,0,0,0,0,0,0,Crashed in stormy weather. Pilot fate unknown.,Weather
1919-03-23 00:00:00,,Unnamed aircraft,Private French,,Flight,Scheduled Revenue Flight,Yes,"Plain, Valley",,,,,Bordeaux Gironde,France,Europe,2,0,0,0,0,0,"In flight, the crew encountered engine problems and elected to make an emergency landing in an open field near Bordeaux. While both occupants were slightly injured, the aircraft was damaged beyond repair.",Technical failure
1919-04-07 00:00:00,,Unnamed aircraft,Private French,,Landing (descent or approach),Scheduled Revenue Flight,Yes,"Plain, Valley",,,1919,,France All France,France,Europe,,0,,0,0,0,Crashed in unknow circumstances somewhere in France. Occupant fate unknown.,Technical failure
1919-04-15 00:00:00,,De Havilland DH.4,U.S. Air Mail Service,3,Flight,Postal (mail),,"Plain, Valley",,,,,Newark Delaware,United States of America,North America,0,0,0,0,0,0,"While flying in poor weather conditions, the aircraft impacted trees and crashed in a wooded area located 3 miles north of Newark. Crew fate unknown.",Weather
